Column1,name,Random Forest,Logistic Regression,SVM,NN,Random Forest std,Logistic Regression std,SVM std,NN std,min std=rf,max,2 feat max
250,"APL, closeness centralization, spectral radius",58.63%,46.18%,49.27%,45.69%,0.013338882,0.014951615,0.010584666,0.013193275,0,0.5863125,0
253,"APL, betweeness centralization, spectral radius",58.61%,31.20%,35.08%,37.95%,0.01617543,0.010314583,0.009014095,0.011397642,0,0.5860625,0
180,"SCC, diam, betweeness centralization",58.03%,30.66%,58.51%,54.42%,0.006680487,0.030965202,0.01089653,0.008830213,0.5803125,0.585125,0
344,"edge connectivity, degree centralization, eigenvector centralization",57.88%,50.01%,57.04%,50.75%,0.013225803,0.010920344,0.010728176,0.010900831,0,0.57875,0
366,"degree centralization, effective graph resistence, spectral radius",57.79%,47.44%,52.35%,49.04%,0.012074152,0.008333854,0.012119844,0.014383693,0,0.5779375,0
331,"den, degree centralization, spectral radius",57.71%,46.04%,50.77%,49.16%,0.012292655,0.016609132,0.010144272,0.01414545,0,0.577125,0
356,"edge connectivity, effective graph resistence, spectral radius",55.53%,47.85%,51.86%,57.61%,0.00887522,0.016432152,0.009274671,0.011665253,0.5553125,0.576125,0
246,"APL, degree centralization, spectral radius",57.58%,45.73%,49.69%,46.26%,0.006341825,0.010610468,0.006299802,0.010945354,0,0.57575,0
375,"betweeness centralization, effective graph resistence, spectral radius",57.40%,35.79%,44.38%,51.47%,0.010883617,0.026657624,0.020058508,0.131957098,0.574,0.574,0
348,"edge connectivity, closeness centralization, eigenvector centralization",56.84%,49.78%,57.32%,51.76%,0.012071402,0.01320881,0.005971613,0.013277242,0,0.5731875,0
228,"APL, diam, spectral radius",57.29%,30.34%,35.00%,37.04%,0.011934227,0.010640614,0.008196798,0.075124402,0,0.5729375,0
255,"APL, eigenvector centralization, spectral radius",57.29%,38.10%,47.14%,45.61%,0.012662074,0.016611837,0.014418548,0.097894554,0.572875,0.572875,0
299,"diam, den, spectral radius",57.24%,34.58%,39.64%,48.49%,0.008668369,0.019354425,0.01974456,0.128020521,0.572375,0.572375,0
213,"APL, r, den",57.21%,51.54%,54.81%,53.70%,0.010066963,0.018343617,0.013589978,0.013980455,0.572125,0.572125,0
340,"den, eigenvector centralization, spectral radius",57.13%,37.96%,50.52%,52.03%,0.009997851,0.021255882,0.009358527,0.016738335,0,0.5713125,0
369,"closeness centralization, betweeness centralization, spectral radius",57.03%,46.36%,49.44%,47.09%,0.011261279,0.012330254,0.013536554,0.010862061,0,0.5703125,0
370,"closeness centralization, eigenvector centralization, effective graph resistence",56.90%,48.24%,52.37%,51.56%,0.007385586,0.014749073,0.009651951,0.01311443,0.569,0.569,0
235,"APL, den, spectral radius",56.87%,34.45%,37.46%,52.69%,0.010362379,0.022153231,0.022827564,0.105190304,0.5686875,0.5686875,0
358,"degree centralization, closeness centralization, eigenvector centralization",56.81%,46.82%,53.14%,49.23%,0.009664085,0.014901893,0.010625184,0.028775872,0.5680625,0.5680625,0
248,"APL, closeness centralization, eigenvector centralization",56.72%,47.04%,53.94%,48.50%,0.011399013,0.016524603,0.00720487,0.024650685,0,0.56725,0
372,"closeness centralization, effective graph resistence, spectral radius",56.71%,48.12%,51.88%,49.49%,0.014793368,0.010758173,0.012088379,0.020783106,0,0.567125,0
241,"APL, edge connectivity, spectral radius",56.56%,43.79%,47.09%,44.96%,0.012661457,0.01251265,0.017077946,0.014534576,0,0.565625,0
360,"degree centralization, closeness centralization, spectral radius",56.47%,46.61%,49.25%,47.29%,0.010684576,0.01664848,0.005929271,0.01215155,0,0.5646875,0
363,"degree centralization, betweeness centralization, spectral radius",56.29%,46.19%,48.81%,44.00%,0.015996093,0.012020328,0.012994741,0.064900766,0,0.562875,0
333,"den, closeness centralization, eigenvector centralization",56.28%,47.44%,52.10%,49.92%,0.01166994,0.014074162,0.013498264,0.017263582,0.56275,0.56275,0
326,"den, edge connectivity, spectral radius",56.19%,43.13%,50.43%,52.03%,0.015423703,0.015794085,0.011533917,0.019534025,0,0.561875,0
364,"degree centralization, eigenvector centralization, effective graph resistence",56.06%,48.23%,52.84%,43.54%,0.011953687,0.010933213,0.01131647,0.096299926,0,0.560625,0
374,"betweeness centralization, eigenvector centralization, spectral radius",55.88%,39.97%,48.60%,45.01%,0.014007392,0.017939242,0.009092408,0.102856013,0,0.5588125,0
373,"betweeness centralization, eigenvector centralization, effective graph resistence",55.81%,36.76%,48.41%,49.02%,0.008368701,0.021720526,0.01535835,0.01453995,0.5580625,0.5580625,0
376,"eigenvector centralization, effective graph resistence, spectral radius",55.63%,41.23%,51.29%,51.10%,0.007738146,0.019145924,0.009775008,0.077469349,0.5563125,0.5563125,0
251,"APL, betweeness centralization, eigenvector centralization",55.62%,29.42%,52.87%,45.17%,0.00791779,0.016912112,0.016391213,0.070278492,0.5561875,0.5561875,0
